Coin,Date,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,P0,P1,P2,P3,P4,P5,R_T1W
XRP,20/02/2020,-0.117651595,-0.176372728,-0.5835084,1.510108846,1.19824261,1.785953158,1.241137412,2.809582082,1.510570561,1.153432582,1.72137953,-0.117651595,-0.176372728,-0.5835084,1.510108846,1.19824261,1.785953158,0.082912975
BTC,20/02/2020,-0.411416032,-0.179736428,0.238443326,-0.26977535,-0.15296412,-0.155765147,-2.237664835,0.937626628,-0.264443879,-0.201024827,-0.225258739,-0.411416032,-0.179736428,0.238443326,-0.26977535,-0.15296412,-0.155765147,0.047855732
ETH,20/02/2020,-0.294007209,-0.084950477,-0.37952581,-0.543603688,-0.246150791,-0.289676754,0.186954913,-1.308719917,-0.537523023,-0.294435683,-0.359509654,-0.294007209,-0.084950477,-0.37952581,-0.543603688,-0.246150791,-0.289676754,0.00681891
BNB,20/02/2020,1.164925877,0.740597373,0.000935901,-0.098632639,0.545935913,0.848571907,0.503209663,0.563235537,-0.05963452,0.546262019,0.848748582,1.164925877,0.740597373,0.000935901,-0.098632639,0.545935913,0.848571907,0.087095241
ADA,20/02/2020,-0.387468898,-0.174750047,1.274295185,-1.570459954,-0.013184114,0.045102264,0.081536663,-0.185546645,-1.561569815,-0.014203116,0.043243091,-0.387468898,-0.174750047,1.274295185,-1.570459954,-0.013184114,0.045102264,0.038972486
XRP,20/02/2020,-0.414712399,-0.192925979,-0.095707005,1.681251557,0.406155906,0.647704496,-0.129299837,-0.185546645,1.71537992,0.452851164,0.714497667,-0.414712399,-0.192925979,-0.095707005,1.681251557,0.406155906,0.647704496,0.001465602
BTC,21/02/2020,0.589225142,-0.103117618,-0.075712532,-0.714746399,-0.339337462,-0.423588362,-0.129299837,-0.934328826,-0.708197489,-0.341141111,-0.426635111,0.589225142,-0.103117618,-0.075712532,-0.714746399,-0.339337462,-0.423588362,0.039655016
ETH,21/02/2020,0.63072058,-0.107508589,-0.19431571,1.030909255,0.452749242,0.7146603,-0.445554586,-0.934328826,1.032682058,0.406145736,0.647372209,0.63072058,-0.107508589,-0.19431571,1.030909255,0.452749242,0.7146603,0.033816413
BNB,21/02/2020,-0.229631108,-0.113808976,-0.195803341,0.449024037,-0.758677482,-1.026190594,-1.394318835,-1.870306553,0.486523769,-0.761489962,-1.030764229,-0.229631108,-0.113808976,-0.195803341,0.449024037,-0.758677482,-1.026190594,0.078882058
ADA,21/02/2020,0.754722136,-0.136783449,0.600167967,1.099366339,1.244835946,1.852908962,-0.129299837,0.563235537,1.135086738,1.246843438,1.855630445,0.754722136,-0.136783449,0.600167967,1.099366339,1.244835946,1.852908962,0.010088753
XRP,21/02/2020,-0.201611992,-0.149911032,-0.512739653,-1.467774328,-0.013184114,0.045102264,0.292373163,0.188844446,-1.459165136,-0.014203116,0.043243091,-0.201611992,-0.149911032,-0.512739653,-1.467774328,-0.013184114,0.045102264,0.086076025
BTC,21/02/2020,-0.394643343,-0.158795424,-1.135490461,-0.304003892,0.080002557,0.179013871,0.081536663,-0.37274219,-0.298578772,0.032502312,0.110368549,-0.394643343,-0.158795424,-1.135490461,-0.304003892,0.080002557,0.179013871,0.080789817
ETH,21/02/2020,-0.012555671,-0.167286368,-0.265722014,0.449024037,-1.364390844,-1.896616041,0.503209663,-3.742262008,0.076905052,-1.508776809,-2.10477155,-0.012555671,-0.167286368,-0.265722014,0.449024037,-1.364390844,-1.896616041,0.096312324
BNB,21/02/2020,-0.214603554,-0.167412523,-0.296537234,0.106738615,-0.013184114,0.045102264,0.397791413,0.750431083,0.145174838,-0.014203116,0.043243091,-0.214603554,-0.167412523,-0.296537234,0.106738615,-0.013184114,0.045102264,0.047664528
ADA,21/02/2020,-0.365266899,-0.192622139,-0.051432263,-1.262403074,0.359562571,0.580748693,0.714046162,0.001648901,-1.288490671,0.172618596,0.311744922,-0.365266899,-0.192622139,-0.051432263,-1.262403074,0.359562571,0.580748693,0.052463386
XRP,21/02/2020,-0.195213163,-0.172018366,-0.164775602,1.647023015,-0.106370785,-0.088809343,-0.023881587,0.188844446,1.647110134,-0.107613971,-0.091007824,-0.195213163,-0.172018366,-0.164775602,1.647023015,-0.106370785,-0.088809343,0.056609458
BTC,21/02/2020,-0.183385023,-0.179466731,-0.616023771,-1.159717448,0.173189229,0.312925478,0.397791413,0.188844446,-1.151951099,0.125913168,0.244619464,-0.183385023,-0.179466731,-0.616023771,-1.159717448,0.173189229,0.312925478,0.036007949
ETH,25/02/2020,1.314619702,2.697511888,-0.540508771,-0.680517857,0.499342577,0.781616104,0.503209663,0.750431083,-0.674062595,0.499556591,0.781623124,1.314619702,2.697511888,-0.540508771,-0.680517857,0.499342577,0.781616104,0.039567165
BNB,25/02/2020,0.013621358,2.045611196,-0.285503968,0.551709663,-1.457577515,-2.030527649,-2.975592584,-1.870306553,0.554793555,-1.462071381,-2.037646093,0.013621358,2.045611196,-0.285503968,0.551709663,-1.457577515,-2.030527649,0.020544442
ADA,25/02/2020,-0.35834356,-0.130945145,-0.377506882,,,,,,,,,-0.35834356,-0.130945145,-0.377506882,,,,0.065339954
XRP,25/02/2020,-0.390425933,-0.19025159,-2.061859739,1.783937184,0.033409222,0.112058067,-0.023881587,0.001648901,1.783649706,0.032502312,0.110368549,-0.390425933,-0.19025159,-2.061859739,1.783937184,0.033409222,0.112058067,0.063552517
BTC,25/02/2020,-0.425377114,-0.193490723,-1.373741702,0.688623832,0.033409222,0.112058067,0.924882662,0.001648901,0.725468021,0.032502312,0.110368549,-0.425377114,-0.193490723,-1.373741702,0.688623832,0.033409222,0.112058067,0.006661989
ETH,25/02/2020,-0.332981897,-0.116995152,-0.815508047,-1.50200287,0.080002557,0.179013871,0.292373163,0.001648901,-1.493300029,0.07920774,0.177494007,-0.332981897,-0.116995152,-0.815508047,-1.50200287,0.080002557,0.179013871,0.051580981
BNB,25/02/2020,-0.255614233,-0.170924626,0.326851131,-1.50200287,-0.013184114,0.045102264,-0.129299837,0.001648901,-1.493300029,-0.014203116,0.043243091,-0.255614233,-0.170924626,0.326851131,-1.50200287,-0.013184114,0.045102264,0.042278543
ADA,25/02/2020,-0.322898893,-0.192814045,-0.052654246,,,,,,,,,-0.322898893,-0.192814045,-0.052654246,,,,0.073997068
XRP,25/02/2020,-0.408798329,-0.190115706,-1.273220328,0.312109868,0.173189229,0.312925478,0.397791413,-0.185546645,0.349984197,0.219324024,0.378870379,-0.408798329,-0.190115706,-1.273220328,0.312109868,0.173189229,0.312925478,0.088811969
BTC,25/02/2020,-0.259298408,-0.182407023,-0.216506211,1.236280508,-0.432524133,-0.557499969,-1.183482336,0.001648901,1.27162631,-0.387846539,-0.493760569,-0.259298408,-0.182407023,-0.216506211,1.236280508,-0.432524133,-0.557499969,0.030749225
ETH,25/02/2020,-0.319699478,-0.187290264,-1.133506953,1.27050905,-0.665490811,-0.892278987,-0.761809336,0.188844446,1.27162631,-0.668079106,-0.896513314,-0.319699478,-0.187290264,-1.133506953,1.27050905,-0.665490811,-0.892278987,0.040569108
BNB,25/02/2020,-0.182997216,-0.182998558,-1.590192059,1.133594881,-0.339337462,-0.423588362,1.979065161,-0.37274219,1.169221631,-0.341141111,-0.426635111,-0.182997216,-0.182998558,-1.590192059,1.133594881,-0.339337462,-0.423588362,0.037029042
ADA,25/02/2020,-0.318923863,-0.180290634,-0.515112779,0.277881326,0.033409222,0.112058067,0.186954913,-1.683111008,0.315849304,0.07920774,0.177494007,-0.318923863,-0.180290634,-0.515112779,0.277881326,0.033409222,0.112058067,0.099167791
XRP,25/02/2020,-0.297691384,-0.171712925,-0.072011163,-0.851660568,0.312969235,0.513792889,0.081536663,0.563235537,-0.844737061,0.31273488,0.513121294,-0.297691384,-0.171712925,-0.072011163,-0.851660568,0.312969235,0.513792889,0.035389869
BTC,25/02/2020,-0.414373067,-0.193871341,-1.910015084,1.167823423,0.545935913,0.848571907,1.241137412,0.001648901,1.203356524,0.592967447,0.91587404,-0.414373067,-0.193871341,-1.910015084,1.167823423,0.545935913,0.848571907,0.057054102
ETH,25/02/2020,-0.29255293,-0.1910085,-0.095707005,,,,,,,,,-0.29255293,-0.1910085,-0.095707005,,,,0.06506247
BNB,25/02/2020,-0.43852477,-0.179406445,0.045033544,-1.091260363,0.173189229,0.312925478,0.714046162,-0.559937735,-1.083681312,0.172618596,0.311744922,-0.43852477,-0.179406445,0.045033544,-1.091260363,0.173189229,0.312925478,0.029961116
ADA,25/02/2020,-0.429546049,-0.193991686,-0.838778852,-1.433545786,-0.292744127,-0.356632558,-0.234718087,0.001648901,-1.425030243,-0.341141111,-0.426635111,-0.429546049,-0.193991686,-0.838778852,-1.433545786,-0.292744127,-0.356632558,0.017079432
XRP,25/02/2020,-0.425571018,-0.193643132,-1.037714121,0.893995086,-0.059777449,-0.02185354,2.189901661,0.188844446,0.930277379,-0.014203116,0.043243091,-0.425571018,-0.193643132,-1.037714121,0.893995086,-0.059777449,-0.02185354,0.041152817
BTC,25/02/2020,-0.277040616,-0.163922071,0.225904719,-1.536231412,-0.15296412,-0.155765147,-0.129299837,0.001648901,-1.527434922,-0.154319399,-0.158133281,-0.277040616,-0.163922071,0.225904719,-1.536231412,-0.15296412,-0.155765147,0.043803882
ETH,25/02/2020,-0.37816151,-0.188069576,-0.095707005,,,,,,,,,-0.37816151,-0.188069576,-0.095707005,,,,0.061913181
BNB,25/02/2020,-0.396776286,-0.193386168,-0.460867366,1.749708641,-0.059777449,-0.02185354,-0.023881587,-0.185546645,1.749514813,-0.060908543,-0.023882366,-0.396776286,-0.193386168,-0.460867366,1.749708641,-0.059777449,-0.02185354,0.012322018
ADA,25/02/2020,0.661454351,-0.100474455,-0.520620557,-0.235546808,-0.618897476,-0.825323183,-1.499737085,0.001648901,-0.230308985,-0.668079106,-0.896513314,0.661454351,-0.100474455,-0.520620557,-0.235546808,-0.618897476,-0.825323183,0.056329
XRP,25/02/2020,0.691994219,-0.12978499,-0.634105575,,,,,,,,,0.691994219,-0.12978499,-0.634105575,,,,0.057647499
BTC,25/02/2020,-0.265794189,-0.177130909,-0.901117688,-1.262403074,0.2663759,0.446837086,0.397791413,-0.185546645,-1.254355778,0.266029452,0.445995837,-0.265794189,-0.177130909,-0.901117688,-1.262403074,0.2663759,0.446837086,0.002991327
ETH,25/02/2020,-0.022250867,-0.018402378,0.161086497,-1.19394599,-0.618897476,-0.825323183,-0.340136337,-0.934328826,-1.186085992,-0.621373678,-0.829387857,-0.022250867,-0.018402378,0.161086497,-1.19394599,-0.618897476,-0.825323183,0.01409962
BNB,25/02/2020,-0.396582382,-0.192611378,-1.714905152,0.004052988,0.2663759,0.446837086,0.924882662,-1.683111008,0.042770159,0.31273488,0.513121294,-0.396582382,-0.192611378,-1.714905152,0.004052988,0.2663759,0.446837086,0.073040426
ADA,25/02/2020,-0.319408623,-0.181018158,-1.433282375,-1.536231412,-0.013184114,0.045102264,0.081536663,0.001648901,-1.527434922,-0.014203116,0.043243091,-0.319408623,-0.181018158,-1.433282375,-1.536231412,-0.013184114,0.045102264,0.024772615
XRP,25/02/2020,-0.257359369,0.515703613,-0.33317901,0.893995086,1.011869268,1.518129944,-1.815991835,-2.244697644,0.930277379,1.013316298,1.520003157,-0.257359369,0.515703613,-0.33317901,0.893995086,1.011869268,1.518129944,0.073999989
BTC,25/02/2020,0.103011065,0.117955349,-0.180236342,0.551709663,-0.898457489,-1.227058005,0.608627913,-0.185546645,0.554793555,-0.948311674,-1.29926606,0.103011065,0.117955349,-0.180236342,0.551709663,-0.898457489,-1.227058005,0.082028253
ETH,25/02/2020,0.656025042,0.043285279,-0.938042823,-0.680517857,0.219782564,0.379881282,0.081536663,0.188844446,-0.674062595,0.219324024,0.378870379,0.656025042,0.043285279,-0.938042823,-0.680517857,0.219782564,0.379881282,0.081635071
BNB,25/02/2020,0.032430038,0.286342322,-0.323952154,-0.646289314,0.126595893,0.245969675,0.608627913,0.376039992,-0.605792809,0.172618596,0.311744922,0.032430038,0.286342322,-0.323952154,-0.646289314,0.126595893,0.245969675,0.035566838
ADA,25/02/2020,1.464507432,0.02746822,-0.999531584,-0.988574737,0.545935913,0.848571907,1.030300912,0.563235537,-0.981276633,0.546262019,0.848748582,1.464507432,0.02746822,-0.999531584,-0.988574737,0.545935913,0.848571907,0.072472456
XRP,25/02/2020,0.413257335,0.043285279,-1.333628786,-0.680517857,0.219782564,0.379881282,0.081536663,0.188844446,-0.674062595,0.219324024,0.378870379,0.413257335,0.043285279,-1.333628786,-0.680517857,0.219782564,0.379881282,0.079344446
BTC,25/02/2020,-0.222456663,-0.182443722,-1.039839309,-1.057031821,-1.317797509,-1.829660238,-1.921410085,0.001648901,-1.049546419,-1.368660525,-1.903395177,-0.222456663,-0.182443722,-1.039839309,-1.057031821,-1.317797509,-1.829660238,0.085371735
ETH,25/02/2020,-0.026322849,0.286342322,-1.054892721,-0.851660568,-0.339337462,-0.423588362,-0.023881587,0.188844446,-0.810602168,-0.294435683,-0.359509654,-0.026322849,0.286342322,-1.054892721,-0.851660568,-0.339337462,-0.423588362,0.007198596
BNB,25/02/2020,-0.415391062,-0.190700967,-0.873507959,1.57856593,,,-0.023881587,0.188844446,1.578840348,,,-0.415391062,-0.190700967,-0.873507959,1.57856593,,,0.07102341
ADA,25/02/2020,0.21014298,-0.155898469,-0.393020751,-1.091260363,-0.246150791,-0.289676754,0.186954913,0.750431083,-1.083681312,-0.247730255,-0.292384196,0.21014298,-0.155898469,-0.393020751,-1.091260363,-0.246150791,-0.289676754,0.099600215
XRP,25/02/2020,-0.336278264,-0.185330582,-0.223696429,-1.19394599,-0.059777449,-0.02185354,0.714046162,-0.934328826,-1.186085992,-0.107613971,-0.091007824,-0.336278264,-0.185330582,-0.223696429,-1.19394599,-0.059777449,-0.02185354,0.063492425
BTC,25/02/2020,-0.374380384,-0.189712034,-1.201105629,-0.030175554,0.639122584,0.982483515,-2.448501334,-0.559937735,0.008635266,0.639672875,0.982999497,-0.374380384,-0.189712034,-1.201105629,-0.030175554,0.639122584,0.982483515,0.026561282
ETH,25/02/2020,-0.282857734,-0.191876824,-0.697099678,1.715480099,0.219782564,0.379881282,0.292373163,0.001648901,1.71537992,0.219324024,0.378870379,-0.282857734,-0.191876824,-0.697099678,1.715480099,0.219782564,0.379881282,0.001074679
BNB,25/02/2020,-0.390183553,-0.192706114,-0.934589393,0.414795495,-0.57230414,-0.75836738,0.292373163,0.563235537,0.418253983,-0.621373678,-0.829387857,-0.390183553,-0.192706114,-0.934589393,0.414795495,-0.57230414,-0.75836738,0.037834122
ADA,25/02/2020,-0.138108458,-0.154304599,-0.422029562,0.96245217,-0.059777449,-0.02185354,0.292373163,0.188844446,0.998547165,-0.060908543,-0.023882366,-0.138108458,-0.154304599,-0.422029562,0.96245217,-0.059777449,-0.02185354,0.046621609
XRP,25/02/2020,-0.403853779,-0.15969107,-1.171547811,0.483252579,-0.292744127,-0.356632558,0.292373163,0.937626628,0.486523769,-0.341141111,-0.426635111,-0.403853779,-0.15969107,-1.171547811,0.483252579,-0.292744127,-0.356632558,0.096491085
BTC,25/02/2020,0.318535271,-0.160926082,-0.366633005,-1.262403074,-0.15296412,-0.155765147,-0.023881587,0.001648901,-1.254355778,-0.154319399,-0.158133281,0.318535271,-0.160926082,-0.366633005,-1.262403074,-0.15296412,-0.155765147,0.09344375
ETH,25/02/2020,-0.089244671,-0.166776568,-0.396438761,1.099366339,1.524395959,2.254643784,0.819464412,-0.934328826,1.100951845,1.480370578,2.191257733,-0.089244671,-0.166776568,-0.396438761,1.099366339,1.524395959,2.254643784,0.062910605
BNB,25/02/2020,-0.369435834,-0.175677688,-2.588357258,1.065137797,-0.339337462,-0.423588362,0.608627913,0.376039992,1.100951845,-0.341141111,-0.426635111,-0.369435834,-0.175677688,-2.588357258,1.065137797,-0.339337462,-0.423588362,0.097118604
ADA,25/02/2020,-0.323577557,-0.174760728,-0.393003041,1.441651761,0.080002557,0.179013871,-0.023881587,-0.37274219,1.476435668,0.125913168,0.244619464,-0.323577557,-0.174760728,-0.393003041,1.441651761,0.080002557,0.179013871,0.005592174
XRP,25/02/2020,0.046100265,-0.175387636,-0.334755191,-0.714746399,-0.246150791,-0.289676754,-0.550972836,-0.185546645,-0.674062595,-0.201024827,-0.225258739,0.046100265,-0.175387636,-0.334755191,-0.714746399,-0.246150791,-0.289676754,0.04936768
BTC,25/02/2020,-0.289644371,-0.181676238,-1.060152561,1.099366339,0.126595893,0.245969675,0.397791413,0.750431083,1.135086738,0.125913168,0.244619464,-0.289644371,-0.181676238,-1.060152561,1.099366339,0.126595893,0.245969675,0.06440341
ETH,25/02/2020,-0.361388821,-0.18983892,-0.939034577,0.893995086,1.757362637,2.589422802,2.611574661,0.750431083,0.930277379,1.807308573,2.661135936,-0.361388821,-0.18983892,-0.939034577,0.893995086,1.757362637,2.589422802,0.005194894
BNB,25/02/2020,-0.376125519,-0.190125956,-0.349436695,-0.098632639,-0.758677482,-1.026190594,-0.656391086,0.001648901,-0.05963452,-0.761489962,-1.030764229,-0.376125519,-0.190125956,-0.349436695,-0.098632639,-0.758677482,-1.026190594,0.081034933
ADA,25/02/2020,-0.220226768,-0.102892064,-0.421285746,-1.091260363,0.080002557,0.179013871,-0.129299837,-0.747133281,-1.083681312,0.07920774,0.177494007,-0.220226768,-0.102892064,-0.421285746,-1.091260363,0.080002557,0.179013871,0.097612204
XRP,25/02/2020,0.651371348,-0.105913664,-0.477992836,0.483252579,-0.106370785,-0.088809343,0.397791413,-1.308719917,0.520658662,-0.107613971,-0.091007824,0.651371348,-0.105913664,-0.477992836,0.483252579,-0.106370785,-0.088809343,0.074433501
BTC,25/02/2020,0.203356343,-0.136981692,-0.639152896,,,,,,,,,0.203356343,-0.136981692,-0.639152896,,,,0.076752556
ETH,25/02/2020,-0.144216432,-0.13003403,-0.690299078,-1.365088701,0.219782564,0.379881282,0.503209663,0.001648901,-1.356760457,0.219324024,0.378870379,-0.144216432,-0.13003403,-0.690299078,-1.365088701,0.219782564,0.379881282,0.087792646
BNB,25/02/2020,-0.137817603,-0.123421779,4.760346675,-1.057031821,-0.013184114,0.045102264,0.608627913,-5.239826371,-1.015411526,0.032502312,0.110368549,-0.137817603,-0.123421779,4.760346675,-1.057031821,-0.013184114,0.045102264,0.003247434
ADA,25/02/2020,0.384753459,-0.141128491,-0.673722614,-1.296631617,0.033409222,0.112058067,0.292373163,-0.185546645,-1.288490671,0.032502312,0.110368549,0.384753459,-0.141128491,-0.673722614,-1.296631617,0.033409222,0.112058067,0.077694312
XRP,25/02/2020,-0.100297194,-0.151509381,-0.372034524,0.175195699,-0.013184114,0.045102264,-1.288900586,-0.185546645,0.213444625,-0.014203116,0.043243091,-0.100297194,-0.151509381,-0.372034524,0.175195699,-0.013184114,0.045102264,0.067159183
BTC,25/02/2020,-0.105144792,-0.152765862,-1.093712815,0.96245217,1.105055939,1.652041551,1.979065161,0.376039992,0.964412272,1.060021726,1.587128615,-0.105144792,-0.152765862,-1.093712815,0.96245217,1.105055939,1.652041551,0.099670796
ETH,25/02/2020,0.020698851,-0.160092915,-0.184167939,-1.057031821,0.592529248,0.915527711,0.714046162,0.376039992,-1.049546419,0.592967447,0.91587404,0.020698851,-0.160092915,-0.184167939,-1.057031821,0.592529248,0.915527711,0.079620777
BNB,25/02/2020,-0.214603554,-0.173951683,-0.296537234,-0.954346194,-0.199557456,-0.222720951,-0.023881587,0.188844446,-0.94714174,-0.201024827,-0.225258739,-0.214603554,-0.173951683,-0.296537234,-0.954346194,-0.199557456,-0.222720951,0.015690269
ADA,25/02/2020,-0.309325619,-0.180457525,-0.775908718,1.612794472,0.2663759,0.446837086,0.819464412,0.188844446,1.612975241,0.219324024,0.378870379,-0.309325619,-0.180457525,-0.775908718,1.612794472,0.2663759,0.446837086,0.010767103
XRP,25/02/2020,-0.366430323,-0.182655494,-0.273691467,0.140967157,-1.038237495,-1.427925416,0.397791413,-0.559937735,0.179309731,-1.04172253,-1.433516975,-0.366430323,-0.182655494,-0.273691467,0.140967157,-1.038237495,-1.427925416,0.026951069
BTC,25/02/2020,-0.134521236,-0.185260379,-0.439739459,-1.091260363,-0.945050824,-1.294013809,0.503209663,0.376039992,-1.083681312,-0.948311674,-1.29926606,-0.134521236,-0.185260379,-0.439739459,-1.091260363,-0.945050824,-1.294013809,0.053560795
ETH,25/02/2020,-0.139368834,-0.187742894,-2.048931514,-0.543603688,-0.106370785,-0.088809343,-0.023881587,0.001648901,-0.537523023,-0.154319399,-0.158133281,-0.139368834,-0.187742894,-2.048931514,-0.543603688,-0.106370785,-0.088809343,0.01427592
BNB,25/02/2020,-0.408798329,-0.190068211,-1.360707218,0.209424241,0.639122584,0.982483515,0.397791413,0.376039992,0.247579518,0.686378303,1.050124955,-0.408798329,-0.190068211,-1.360707218,0.209424241,0.639122584,0.982483515,0.024809888
ADA,25/02/2020,-0.419947805,-0.192030092,-1.974036361,1.681251557,0.126595893,0.245969675,-0.023881587,0.001648901,1.681245027,0.125913168,0.244619464,-0.419947805,-0.192030092,-1.974036361,1.681251557,0.126595893,0.245969675,0.008835129
XRP,25/02/2020,1.265077251,-0.083931018,-0.875154979,-1.296631617,-0.199557456,-0.222720951,-0.550972836,0.188844446,-1.288490671,-0.201024827,-0.225258739,1.265077251,-0.083931018,-0.875154979,-1.296631617,-0.199557456,-0.222720951,0.058669797
BTC,25/02/2020,-0.013428239,-0.090472698,-1.109740271,0.175195699,0.732309255,1.116395122,1.873646911,0.376039992,0.213444625,0.779789159,1.18437587,-0.013428239,-0.090472698,-1.109740271,0.175195699,0.732309255,1.116395122,0.084384233
ETH,25/02/2020,-0.163509872,-0.120297878,-0.712737517,1.373194677,0.2663759,0.446837086,0.714046162,0.001648901,1.374030989,0.266029452,0.445995837,-0.163509872,-0.120297878,-0.712737517,1.373194677,0.2663759,0.446837086,0.050729444
BNB,25/02/2020,-0.155172003,-0.126180455,-0.66755957,0.928223628,0.126595893,0.245969675,-0.867227586,-0.37274219,0.964412272,0.172618596,0.311744922,-0.155172003,-0.126180455,-0.66755957,0.928223628,0.126595893,0.245969675,0.078247127
ADA,25/02/2020,0.032720894,-0.13570997,-0.587156639,-0.543603688,-0.339337462,-0.423588362,0.924882662,0.001648901,-0.50338813,-0.341141111,-0.426635111,0.032720894,-0.13570997,-0.587156639,-0.543603688,-0.339337462,-0.423588362,0.009939074
XRP,25/02/2020,-0.289450467,-0.177255648,-0.57493681,0.072510072,-1.457577515,-2.030527649,-3.081010834,0.376039992,0.111039945,-1.462071381,-2.037646093,-0.289450467,-0.177255648,-0.57493681,0.072510072,-1.457577515,-2.030527649,0.042247164
BTC,25/02/2020,-0.34403442,-0.179354647,-1.83535016,0.414795495,1.990329314,2.92420182,3.665757159,4.681537536,0.452388876,2.040835712,2.996763224,-0.34403442,-0.179354647,-1.83535016,0.414795495,1.990329314,2.92420182,0.008006739
ETH,25/02/2020,0.042513042,-0.180000813,-0.61092332,-0.509375145,0.406155906,0.647704496,0.186954913,0.001648901,-0.50338813,0.406145736,0.647372209,0.042513042,-0.180000813,-0.61092332,-0.509375145,0.406155906,0.647704496,0.040932491
BNB,25/02/2020,-0.254159954,-0.188846125,-1.347407085,0.757080917,0.406155906,0.647704496,0.819464412,-0.185546645,0.793737807,0.406145736,0.647372209,-0.254159954,-0.188846125,-1.347407085,0.757080917,0.406155906,0.647704496,0.030154394
ADA,25/02/2020,-0.407634906,-0.18856021,-0.477585508,1.202051966,0.359562571,0.580748693,1.346555662,2.809582082,1.203356524,0.31273488,0.513121294,-0.407634906,-0.18856021,-0.477585508,1.202051966,0.359562571,0.580748693,0.029816596
XRP,25/02/2020,0.136168635,1.097634772,-0.67790215,0.277881326,-0.292744127,-0.356632558,0.292373163,0.376039992,0.281714411,-0.294435683,-0.359509654,0.136168635,1.097634772,-0.67790215,0.277881326,-0.292744127,-0.356632558,0.081610532
BTC,25/02/2020,1.698646414,0.499408009,-0.532840386,-0.167089723,0.592529248,0.915527711,0.608627913,-0.185546645,-0.162039199,0.546262019,0.848748582,1.698646414,0.499408009,-0.532840386,-0.167089723,0.592529248,0.915527711,0.077765139
ETH,25/02/2020,6.326842103,0.265296179,-0.313397056,-0.646289314,0.545935913,0.848571907,0.608627913,0.001648901,-0.639927702,0.546262019,0.848748582,6.326842103,0.265296179,-0.313397056,-0.646289314,0.545935913,0.848571907,0.064780057
BNB,25/02/2020,0.367302106,0.17512956,-0.358787521,-0.543603688,0.639122584,0.982483515,0.714046162,0.376039992,-0.50338813,0.639672875,0.982999497,0.367302106,0.17512956,-0.358787521,-0.543603688,0.639122584,0.982483515,0.051220484
ADA,25/02/2020,0.031072711,0.286342322,-0.317523461,-0.338232434,0.825495926,1.250306729,2.084483411,1.124822173,-0.298578772,0.826494587,1.251501327,0.031072711,0.286342322,-0.317523461,-0.338232434,0.825495926,1.250306729,0.088626856
XRP,25/02/2020,-0.167678806,0.000150829,-0.622470173,0.791309459,1.058462604,1.585085747,0.292373163,0.937626628,0.8278727,1.060021726,1.587128615,-0.167678806,0.000150829,-0.622470173,0.791309459,1.058462604,1.585085747,0.037817528
BTC,25/02/2020,-0.349366778,-0.008181421,-0.767337128,-0.304003892,-0.945050824,-1.294013809,-0.761809336,-0.37274219,-0.264443879,-0.901606246,-1.232140602,-0.349366778,-0.008181421,-0.767337128,-0.304003892,-0.945050824,-1.294013809,0.006824006
ETH,25/02/2020,0.601828896,0.02603747,-0.429520848,0.825538001,0.359562571,0.580748693,0.714046162,1.124822173,0.862007593,0.359440308,0.580246752,0.601828896,0.02603747,-0.429520848,0.825538001,0.359562571,0.580748693,0.038181013
BNB,25/02/2020,-0.314851881,-0.182051645,-0.766929801,0.859766543,0.312969235,0.513792889,0.292373163,-0.185546645,0.896142486,0.31273488,0.513121294,-0.314851881,-0.182051645,-0.766929801,0.859766543,0.312969235,0.513792889,0.046182018
ADA,25/02/2020,-0.050173031,0.286342322,-1.102036466,-1.159717448,-0.339337462,-0.423588362,0.186954913,-0.37274219,-1.151951099,-0.341141111,-0.426635111,-0.050173031,0.286342322,-1.102036466,-1.159717448,-0.339337462,-0.423588362,0.064587833
XRP,25/02/2020,-0.223329231,-0.186999437,-0.973019869,-0.646289314,0.639122584,0.982483515,0.081536663,-0.747133281,-0.639927702,0.639672875,0.982999497,-0.223329231,-0.186999437,-0.973019869,-0.646289314,0.639122584,0.982483515,0.029207438
BTC,25/02/2020,-0.313785409,-0.117171699,-0.992571595,-0.064404097,0.173189229,0.312925478,0.081536663,0.376039992,-0.05963452,0.125913168,0.244619464,-0.313785409,-0.117171699,-0.992571595,-0.064404097,0.173189229,0.312925478,0.079521129
ETH,25/02/2020,0.000629796,-0.1006039,-0.968131937,1.030909255,-0.246150791,-0.289676754,-0.234718087,2.247995446,1.066816951,-0.247730255,-0.292384196,0.000629796,-0.1006039,-0.968131937,1.030909255,-0.246150791,-0.289676754,0.012421077
BNB,25/02/2020,-0.300696894,-0.150553638,-1.162834542,1.27050905,0.732309255,1.116395122,-0.234718087,0.001648901,1.305761203,0.733083731,1.117250412,-0.300696894,-0.150553638,-1.162834542,1.27050905,0.732309255,1.116395122,0.038577415
ADA,25/02/2020,-0.430224712,-0.191524487,-0.36404736,0.34633841,1.384615952,2.053776373,1.979065161,1.312017719,0.38411909,1.43366515,2.124132275,-0.430224712,-0.191524487,-0.36404736,0.34633841,1.384615952,2.053776373,0.090533703
XRP,25/02/2020,-0.210337668,-0.191842292,-0.604990505,0.380566952,0.033409222,0.112058067,-0.445554586,-0.559937735,0.418253983,0.032502312,0.110368549,-0.210337668,-0.191842292,-0.604990505,0.380566952,0.033409222,0.112058067,0.031651015
